Date,,Basantpur,Kelo,Kurubhata,Paramanpur,Sundargarh,Hirakud inflow ,rainfall,tavg
7/26/2009,7,1791,16,55,50,125,3334.06,2.439433734,28.1336962
7/27/2009,7,1116.13,17.792,48.341,40.301,90.852,2120.21,8.402559684,26.7247943
7/28/2009,7,973.476,123.335,66.539,34.391,142.171,1561.54,15.77216753,26.97532595
7/29/2009,7,854.901,45.856,76.523,29.531,505.13,1535.48,3.205614241,27.63203481
7/30/2009,7,765.578,17.544,116.314,26.516,260.564,1303.06,0.170888481,28.5619557
7/31/2009,7,815.17,10.708,58.195,25.734,108.217,1055.66,0.2902562658,28.86962658
8/1/2009,8,639.769,7.81,36.969,22.798,82.604,874.89,0.1942788608,28.48531329
8/2/2009,8,564,6.8,25,19,50.78,730.458,1.69373519,29.13093354
8/3/2009,8,541.673,6.798,19.028,20.323,61.969,516.812,2.467518101,29.2906519
8/4/2009,8,487.482,6.502,18.403,46.17,66.883,586.309,4.458617911,29.50928481
8/5/2009,8,524.456,6.125,16.936,37.041,116.229,399.454,0.7285088608,29.36381962
8/6/2009,8,443.456,6.153,15.895,27.698,60.067,440.659,0.101915443,28.93041456
8/7/2009,8,412.923,5.378,6.888,22.097,33.38,359.891,1.498293544,29.16369304
8/8/2009,8,380.095,4.763,5.901,19.112,28.618,391.977,0.5283274051,28.78622785
8/9/2009,8,363,4.75,5,25,26,121.04,8.405600443,27.88740506
8/10/2009,8,332.217,4.735,5.548,26.87,49.569,366.971,14.24915272,27.85588924
8/11/2009,8,384.244,34.058,29.353,23.422,139.51,396.225,30.72110443,27.67203165
8/12/2009,8,1733.81,16.378,32.903,65.829,487.03,501.236,9.516383734,27.85917722
8/13/2009,8,2009.36,10.223,65.792,37.963,288.603,1238.43,2.923059241,28.62570253
8/14/2009,8,1786.5,162.914,48.97,58.864,135.297,2219.04,17.71229215,26.3959557
8/15/2009,8,1716,45,80,230,1040,2453.76,20.57649171,26.77820886
8/16/2009,8,1738,73,153,120,450,2661.71,13.02660209,26.96943671
8/17/2009,8,1766.39,60.956,236.49,81.334,466.699,2728.55,0.5735668354,28.24287025
8/18/2009,8,1397.06,20.966,137.968,63.524,231.538,2452.31,2.954691013,28.81493671
8/19/2009,8,859.476,22.924,71.182,50.715,203.57,1798.49,2.979342595,28.30806962
8/20/2009,8,652.501,71.716,68.033,243.548,300.68,1672.44,36.29641519,26.47489241
8/21/2009,8,1615.6,39.412,164.936,190.838,507.051,1479.38,13.32552342,26.66225633
8/22/2009,8,2893.31,32.757,138.877,94.254,339.221,1923.47,9.057912658,27.22907278
8/23/2009,8,2600,18,162,77,400.836,3070.71,5.372889937,28.12789241
8/24/2009,8,1780.88,45.318,132.605,77.049,358.5,2988.92,8.299046392,27.25183861
8/25/2009,8,1556.67,32.739,71.778,99.205,251.897,2535.35,12.20250835,26.84230696
8/26/2009,8,1172.31,19.342,146.606,78.83,305.551,1903.27,18.36835367,26.66623418
8/27/2009,8,1204.13,17.932,150.065,77.528,237.953,1855.07,16.14177677,26.53135443
8/28/2009,8,5231.2,32.579,162.369,142.084,367.148,1774.47,18.00653481,26.50043038
8/29/2009,8,5274.02,42.607,408.579,79.339,406.856,4310.76,4.406080696,27.77097468
8/30/2009,8,2900,20,235,50,610,4997.91,1.699405949,28.56904114
8/31/2009,8,2343.88,17.091,135.84,58.946,1035.04,3699.78,8.617987911,27.90306962
9/1/2009,9,1455.09,17.306,171.65,53.276,559.109,3010.39,10.35848082,28.10286076
9/2/2009,9,1252.54,198.767,171.277,51.331,835.809,2136.83,4.632075886,28.09712975
9/3/2009,9,1593.38,88.257,213.452,43.866,582.695,2277.75,6.016281772,28.06124367
9/4/2009,9,1656.46,33.154,181.429,43.633,318.414,2483.78,3.979191329,28.26560443
9/5/2009,9,1542.72,20.59,79.228,43.475,270.276,2115.56,7.393558861,26.97864241
9/6/2009,9,1491,90,170,51,255,2072.54,12.22879911,26.62899367
9/7/2009,9,1347.3,34.049,80.163,51.546,213.379,2045.67,4.980861266,26.55132595
9/8/2009,9,934.06,20.505,79.84,46.575,173.908,1655.11,10.45421399,26.86721519
9/9/2009,9,859.458,18.295,71.975,61.261,241.232,1343.1,5.843972722,26.956
9/10/2009,9,759.62,18.877,74.068,67.548,273.832,1217.82,3.922092975,27.10175633
9/11/2009,9,642.605,20.273,80.027,47.215,258.687,1252.14,0.9729093671,27.81534177
9/12/2009,9,617.333,16.489,76.249,41.458,216.319,882.253,0.04257962025,28.64176582
9/13/2009,9,558.3,15,56,35,140,875.853,1.120999241,28.75190823
9/14/2009,9,447.271,10.259,54.118,32.15,98.877,684.183,0.369358038,28.82882595
9/15/2009,9,426.607,8.164,32.911,28.384,85.097,370.85,1.483336392,28.55555696
9/16/2009,9,411.902,7.66,30.753,26.166,79.574,398.519,0.4088277215,28.65325316
9/17/2009,9,380.924,8.583,28.109,23.227,73.63,422.393,0.005498417722,28.37037342
9/18/2009,9,343.166,7.641,34.722,24.565,52.488,435.42,0.09766816456,28.37097152
9/19/2009,9,344.411,6.536,26.656,23.515,52.073,443.463,0.9304918354,28.23820886
9/20/2009,9,340,6.5,25,55,68.5,346.637,2.828138291,28.64318038
9/21/2009,9,300,6.3,29,55,70,329.333,1.356123797,28.95085127
9/22/2009,9,260.536,6.103,22.546,41.251,43.271,330.183,0.1075521519,28.89079747
9/23/2009,9,251.625,9.392,21.483,38.465,46.895,309.708,5.293209684,27.78393671
9/24/2009,9,368.315,8.37,40.563,33.815,100.578,431.512,2.826223228,28.758
9/25/2009,9,500,10.644,34,31.166,108.398,524.6,0.6611315823,28.48363924
9/26/2009,9,373.153,8.599,29.566,30.089,148.456,572.461,1.89862981,28.06568354
9/27/2009,9,347,8,29.5,32,164,477.277,0.9558222785,28.27912975
9/28/2009,9,347,7.5,24,30,155,541.308,0.991046962,28.42102848
9/29/2009,9,354.305,7.474,31.888,61.803,124.93,454.281,8.892796266,27.58457278
9/30/2009,9,361.371,6.928,29.932,54.203,109.904,586.762,1.045703101,28.28745886
6/1/2010,6,3.45,0,0,0,0.809,169.042,0.00335056962,35.82008861
6/2/2010,6,3.553,0,0,0,0.554,0,0,36.10286076
6/3/2010,6,4.899,0,0,0,0.506,17.1902,0,36.35536392
6/4/2010,6,5.258,0,0,0,1.005,0,0.02028272152,35.34697152
6/5/2010,6,6.87,0,0,0,1.649,16.8504,0.1666889873,34.88177848
6/6/2010,6,5,0,0,0,1.6,41.9136,0.02725765823,34.73412342
6/7/2010,6,5.537,0,0,0,1.627,82.7227,0.9285577848,35.20623734
6/8/2010,6,4.792,0,0,0,1.302,0,0.04617455696,35.20427532
6/9/2010,6,4.767,0,0,0,0.937,50.0414,0.6335053797,34.1558038
6/10/2010,6,9.907,0,0,0,0.63,0,1.29830962,33.45623418
6/11/2010,6,10.53,0,0,0,0.714,0,1.735700253,34.06485443
6/12/2010,6,9.482,0,0,0,1.782,6.9384,0.7777053797,33.53444304
6/13/2010,6,8.5,0,0,0,1.8,0,0.2392690506,33.52837975
6/14/2010,6,7.452,0,0,0,2.303,22.7126,4.570408291,32.12261709
6/15/2010,6,6.389,0,0,0,6.044,24.8083,1.562513038,31.78360443
6/16/2010,6,6.409,0,0,0,4.685,42.9614,4.113169367,31.17582278
6/17/2010,6,7.689,0,0,0,3.127,40.0728,7.177286582,28.96432278
6/18/2010,6,10.307,0,0,0,3.208,0,2.009457975,30.67930063
6/19/2010,6,15.135,0,0,0,2.301,21.325,2.146194304,31.42758228
6/20/2010,6,15,0,0,0,2.3,86.0078,6.97281538,29.19382278
6/21/2010,6,14.584,0,1.395,0,5.039,78.0782,2.696907658,30.97733861
6/22/2010,6,15.288,0,0.882,0,5.992,0,3.487440633,31.32681962
6/23/2010,6,13.46,0,1.226,0,5.187,29.5378,2.448057342,32.84751266
6/24/2010,6,11.185,5.685,1.426,0,5.379,113.79,11.51481367,29.31956329
6/25/2010,6,12.756,4.927,0.6,0,5.372,71.4514,6.094008861,29.82347152
6/26/2010,6,13.303,10.949,0.32,15,13.719,376.118,18.65059475,29.39376266
6/27/2010,6,4.5,9.5,0.163,20,25,720.319,15.73683203,29.5009462
6/28/2010,6,5,6.859,0.27,65,34.249,317.156,6.377832532,30.48478481
6/29/2010,6,3.989,4.604,0.25,18,39.86,269.946,0.1491472152,31.18208861
6/30/2010,6,3.606,4.47,0.569,123.349,62.907,271.022,11.58777646,30.57062342
7/1/2010,7,3.959,8.842,0.564,193.156,43.818,299.286,19.79592019,29.27744937
7/2/2010,7,10.757,22.865,7.524,78.175,104.989,453.941,3.537627785,29.51784494
7/3/2010,7,16.88,11.353,15.258,60.033,79.738,339.868,18.73416456,28.21550949
7/4/2010,7,70,9,4.5,78,55,352.697,11.07830525,28.73086076
7/5/2010,7,89.31,4.973,16.232,36.266,42.094,238.851,6.975444304,29.59442722
7/6/2010,7,740.708,5.088,21.968,30.117,75.721,195.493,6.555089114,28.77680063
7/7/2010,7,697.811,17.117,23.92,19.246,40.244,240.947,13.96358728,28.2687057
7/8/2010,7,633.136,10.67,25.139,22.256,26.287,439.583,7.311698354,28.59849684
7/9/2010,7,596.829,4.861,14.788,18.931,17.706,402.88,2.437338544,28.96712342
7/10/2010,7,559.614,4.505,1.553,18.224,9.761,336.951,0.9734563924,30.01310443
7/11/2010,7,95,16,7,36,9.7,330.749,21.14815101,28.34637342
7/12/2010,7,694.085,16.333,476.801,50.493,91.629,706.782,27.75160741,26.90281329
7/13/2010,7,786.184,22,480,32.5,290,854.896,12.56089481,27.84252848
7/14/2010,7,1340.61,17.021,183.983,29.027,234.008,1174.94,19.02600981,27.94713608
7/15/2010,7,1326.29,11.922,86.015,18.587,119.56,1358.28,16.85185709,28.24984177
7/16/2010,7,1784.71,8.382,64.935,22.975,160.132,1612.12,4.037186962,29.40733861
7/17/2010,7,1420.89,10.274,41.011,22.843,188.763,1577.51,2.499433797,29.96875316
7/18/2010,7,1050,9,35,20,80,1550.12,0.9701934177,30.03294937
7/19/2010,7,809.85,5.56,11.282,8.656,46.407,1106.01,0.5940803165,30.0737057
7/20/2010,7,737.833,4.85,16.446,7.232,28.833,766.339,3.364541076,30.02771203
7/21/2010,7,565.703,4.503,3.332,6.476,20.343,647.763,6.114697785,29.45949051
7/22/2010,7,568.818,5.358,26.264,7.412,20.54,480.279,3.418086772,29.97940823
7/23/2010,7,539.222,5.06,31.37,5.958,20.422,388.579,3.45308557,29.5906519
7/24/2010,7,651.45,121.409,5.304,15.557,148.251,519.304,35.02235399,27.68266456
7/25/2010,7,1400,120,29,172,1030,937.902,48.12646582,26.93516139
7/26/2010,7,7465.19,160.021,156.576,167.402,1020.22,4080.46,37.77021456,26.54535127
7/27/2010,7,8405.84,22.612,170.726,95.411,479.788,8832.98,11.46668684,27.46208544
7/28/2010,7,7688.36,18.69,106.298,64.339,231.706,8218.01,5.053454494,28.71734494
7/29/2010,7,5384.73,13.67,70.113,31.388,156.687,5591.56,5.177859747,28.91624684
7/30/2010,7,2912.54,11.508,71.235,22.772,83.214,4159.87,5.231152785,29.00110127
7/31/2010,7,1823.86,10.193,67.247,17.34,77.19,2688.42,14.83268411,27.59099684
8/1/2010,8,1769,11,99,45,192,2300.92,5.542790127,27.40595886
8/2/2010,8,1817.6,37.708,72.654,203.628,248.651,2640.56,12.95720842,26.52262025
8/3/2010,8,1852.62,321.247,423.538,151.008,1074.02,2788.81,27.10890487,26.39816139
8/4/2010,8,2594.38,141.443,766.807,124.706,549.896,4473.94,8.353729494,27.10352848
8/5/2010,8,2291.76,25.778,187.753,64.549,297.19,4260.77,11.15256051,26.82928165
8/6/2010,8,2490.62,23.222,141.632,66.381,191.586,3211.03,35.62936316,26.79783861
8/7/2010,8,2888.63,23.158,116.883,56.565,117.372,2475.48,6.654351456,26.06344304
8/8/2010,8,5670,17,89,60,98,2713.74,0.9955698101,26.4097057
8/9/2010,8,5532.67,14.051,72.851,41.971,73.798,5003.44,0.3807562025,27.47410443
8/10/2010,8,2435.32,11.458,46.686,23.363,55.313,4394.84,1.098244367,28.78286076
8/11/2010,8,1320.06,9.182,31.188,18.328,45.636,2475.71,2.00548,29.40177215
8/12/2010,8,1052.19,8.587,22.644,26.386,41.095,1324.38,3.956222595,28.61536392
8/13/2010,8,988.499,10.19,29.559,26.72,49.737,946.426,5.304220759,28.54042405
8/14/2010,8,984.036,8.699,18.621,24.552,59.288,938.525,3.265350759,28.57906646
8/15/2010,8,950,6,28,17,76,857.615,13.37852184,27.23955696
8/16/2010,8,1073.1,22.907,165.112,149.882,225.729,886.926,14.81736127,27.98027215
8/17/2010,8,1495.95,14.339,124.841,60.68,120.207,1367.8,4.100123481,28.0670443
8/18/2010,8,1933.14,11.444,88.759,30.836,106.719,1580.54,1.729004241,28.80587025
8/19/2010,8,1372.71,9.16,56.213,33.359,99.5,1840.01,7.99299981,28.34321519
8/20/2010,8,1250.16,16.252,177.13,31.597,84.252,1590.45,16.39171899,27.43781013
8/21/2010,8,2259.8,11.41,486.046,38.867,175.451,1559.95,12.63829582,28.11475633
8/22/2010,8,2475,10,177,45,168,2170.95,2.990304177,28.20237658
8/23/2010,8,2419.63,14.239,106.623,27.173,103.091,2621.38,3.718068608,28.5455443
8/24/2010,8,2211.48,11.268,90.289,28.867,120.726,2274.04,3.264505127,28.26343987
8/25/2010,8,2026.6,26.207,134.613,36.618,131.028,1883.65,10.50490772,27.83436392
8/26/2010,8,1295.64,15.855,170.479,111.997,501.299,1600.82,3.908998797,28.12658861
8/27/2010,8,1145.93,11.305,158.27,84.891,249.96,1897.41,2.344915633,27.79374367
8/28/2010,8,978.807,11.139,76.912,41.777,111.984,1474.14,4.690696456,27.95731962
8/29/2010,8,900,13,74,57,78,1165.08,5.572795443,28.28343671
8/30/2010,8,903.745,20.624,76.796,131.633,404.046,1037.73,14.68203392,27.56001899
8/31/2010,8,919.768,17.555,115.028,95.535,403.925,1344.52,7.333938354,27.32589557
9/1/2010,9,991.551,11.278,93.829,69.763,259.531,1574,3.364914684,27.49095253
9/2/2010,9,1104.31,150.167,120.592,42.425,277.024,1505.15,7.11689557,27.96071519
9/3/2010,9,1192.43,19.949,183.018,29.846,215.573,1684.84,14.62792892,28.25068354
9/4/2010,9,2425.75,25.879,147.891,24.209,393.219,1871.16,5.900139684,27.83212342
9/5/2010,9,2000,16,85,19.5,200,2491.79,3.680688797,27.93449051
9/6/2010,9,1609.8,13.375,57.855,17.503,119.666,2224.65,15.73078089,27.84348734
9/7/2010,9,1749.48,16.041,125.849,15.236,77.239,1951.84,22.99776722,27.33111392
9/8/2010,9,7260.18,17.947,166.119,17.881,78.479,2202.25,25.8557443,27.09434177
9/9/2010,9,9138.5,26.699,152.687,19.779,139.819,4838.73,4.428149937,27.88248418
9/10/2010,9,6968.55,16.334,93.552,19.433,104.471,7254.96,4.78470981,28.47546519
9/11/2010,9,4000,20,164,19.45,152,5757.65,1.105147405,28.13153481
9/12/2010,9,2000,15,89,19.5,139,3803.38,0.7835435443,27.58076899
9/13/2010,9,1652.85,12.688,82.588,19.605,80.666,2339.35,4.373266203,27.80259177
9/14/2010,9,1649.41,14.873,133.584,18.092,204.314,1638.4,9.243840127,27.64375949
9/15/2010,9,1681.77,15.224,133.617,18.74,217.077,1492.44,12.75995006,26.7453481
9/16/2010,9,1920.3,14.284,154.888,68.223,351.271,2268.04,12.53517962,26.91374684
9/17/2010,9,3781.04,25.009,208.33,39.391,384.387,2932.48,10.13658076,26.70617405
9/18/2010,9,3575.01,129.399,597.579,62.46,430.802,4186.23,26.04827133,25.90718987
9/19/2010,9,5000,230,593.276,35,386,5345.77,26.84240316,26.18306962
9/20/2010,9,8033.01,121.983,657.22,42.009,488.562,6307.52,14.57169158,26.69520886
9/21/2010,9,7662.32,153.192,961.671,42.341,1196.31,8869.71,4.463634051,27.51818671
9/22/2010,9,5441.14,55.357,452.709,41.587,583.354,9175.37,0.5412741139,27.78563291
9/23/2010,9,3143.61,20.407,211.402,74.922,306.029,5430.08,0.2134459494,27.52078165
9/24/2010,9,1899.06,16.476,156.067,35,199.417,3107.19,0.2658422152,27.59232595
9/25/2010,9,1666.54,13.734,88.237,24.1,135.521,2102.79,0.3417211392,27.36776899
9/26/2010,9,1061.54,11.5,58,19.5,100,1476.38,0.3054487975,27.45812658
9/27/2010,9,1009.02,11.385,53.042,16.66,67.646,1340.84,0.2015897468,27.69942405
9/28/2010,9,841.089,11.201,49.06,14.885,61.501,856.227,0.05519873418,27.42847152
9/29/2010,9,660.84,10.858,45.401,13.621,59.792,952.147,0,26.73138291
9/30/2010,9,600.699,9.601,37.008,12.587,61.408,841.67,0,26.21656329
6/1/2011,6,8.168,0,0.29,0,0.2,0,1.30461057,33.19428165
6/2/2011,6,7.635,0,0.29,0,0.2,62.8987,1.884167468,32.94264557
6/3/2011,6,7.475,0,0.29,0,0.2,0.73632,2.647170127,32.35435759
6/4/2011,6,7.135,0,0.29,0,0.2,0,2.181129177,32.48795253
6/5/2011,6,8.14,0,0.29,0,0.2,67.5149,0.2431308228,32.89793354
6/6/2011,6,14.738,0,0.29,0,0.2,0,3.063664494,32.50168671
6/7/2011,6,14.71,0,0.29,0,0.2,0,2.576903038,33.03916139
6/8/2011,6,14.07,0,0.29,0,0.2,60.803,11.68576196,31.02771203
6/9/2011,6,13.73,0,0.29,0,0.2,34.6354,0.1913162025,31.51756962
6/10/2011,6,13.21,0,0.29,0,0.2,0,0.7738016456,32.14290823
6/11/2011,6,13.38,0,0.29,0,0.2,0,6.017025316,31.70921519
6/12/2011,6,13.12,0,0.29,0,0.2,59.5853,2.069784241,32.6115538
6/13/2011,6,11.86,0,0.29,0,0.2,0,1.213713608,32.16886709
6/14/2011,6,11.96,0,53.799,0,0.2,0,6.097330063,30.42585759
6/15/2011,6,10.73,0,0.29,0,0.2,118.236,4.397843165,30.19253797
6/16/2011,6,9.451,0,0.29,14.381,3.453,54.4594,6.988163354,28.25915823
6/17/2011,6,9.393,0,0.29,13.055,3.803,40.9507,9.98546519,28.30560759
6/18/2011,6,10.5,0,0.29,12.38,6.306,36.1363,8.241020443,27.58850633
6/19/2011,6,12.09,0,0.29,14,5.5,60.095,9.632471582,27.34082911
6/20/2011,6,19.83,0,0.29,5.106,10.502,7.39152,24.55577411,26.4752057
6/21/2011,6,24.61,5.62,0.29,6.419,630.875,78.8146,23.98798753,26.59404114
6/22/2011,6,62.16,10.277,215.388,6.107,263.711,131.575,6.185389051,27.87876899
6/23/2011,6,203.9,13.486,134.365,5.983,3.8,577.105,3.909852278,29.06546519
6/24/2011,6,178.068,11.946,66.059,4.477,101.453,481.78,1.449229937,29.10584494
6/25/2011,6,153.149,8.874,47.083,2.585,67.413,418.938,0.4342525949,27.39651582
6/26/2011,6,125.52,0.59,40,1.5,47,295.972,4.325085886,26.21051899
6/27/2011,6,116.279,5.957,37.46,1.449,43.638,173.573,12.39697399,25.4492057
6/28/2011,6,132.226,10.774,41.851,1.418,122.714,187.224,12.82193633,25.86015823
6/29/2011,6,142.324,11.01,170.952,1.45,131.678,194.162,6.474629873,26.3071962
6/30/2011,6,116.553,8.628,89.609,1.433,95.333,249.952,3.865899367,27.16264241
7/1/2011,7,116.067,7.928,72.272,4.393,76.178,383.566,6.232608228,28.81162975
7/2/2011,7,150.3,7.557,73.767,5.202,97.449,315.117,1.203838861,29.15809177
7/3/2011,7,97.5,4.7,55,4.2,56,163.775,5.404784747,28.49013924
7/4/2011,7,69.876,4.599,47.682,1.459,69.88,250.377,6.590403671,27.86062342
7/5/2011,7,70.77,4.541,53.702,11.143,108.392,235.679,21.56157677,26.54557595
7/6/2011,7,85.802,4.463,73.708,13.986,117.948,191.925,6.999234051,26.80807595
7/7/2011,7,74.812,5.146,134.865,13.346,73.636,148.425,6.015229114,27.01723101
7/8/2011,7,75.979,5.052,68.416,14.385,63.847,195.918,12.63022335,27.25927215
7/9/2011,7,14.554,16.765,151.394,11.103,132.499,300.758,9.719323418,27.64070253
7/10/2011,7,328.4,14,132.5,29,170,297.36,4.226389873,27.91389557
7/11/2011,7,264.285,12.664,83.4,19.291,116.925,381.499,2.049291203,28.49950316
7/12/2011,7,237.867,11.01,64.977,10.449,74.564,490.644,2.606015316,28.55120886
7/13/2011,7,221.243,9.213,60.016,8.144,69.524,455.697,14.72499266,28.39299367
7/14/2011,7,196.335,4.932,50.25,10.97,68.688,316.674,2.740591329,28.46699684
7/15/2011,7,157.993,13.689,44.304,7.347,112.783,301.268,16.19819297,28.16890823
7/16/2011,7,266.684,25.376,70.98,16.686,205.448,374.362,9.434638101,27.145
7/17/2011,7,539,128,95,28,143,735.272,16.90254994,27.62317722
7/18/2011,7,435.467,101.423,148.324,24.441,280.532,1007.37,13.12311924,27.14945253
7/19/2011,7,505.277,26.621,598.471,28.661,424.428,1301.62,8.884231519,27.37237975
7/20/2011,7,477.237,15.196,215.364,20.384,246.642,1324.84,12.15912532,26.22615823
7/21/2011,7,452.354,18.205,492.992,33.1,254.777,1513.08,25.63520316,25.33452215
7/22/2011,7,459.8,18.175,197.659,33.088,515.606,1101.36,33.02531076,25.20275
7/23/2011,7,3871.66,92.374,669.1,124.426,1431.24,1745.59,20.37926728,24.16475
7/24/2011,7,5603,18,350,76,558,3716.8,2.417606962,26.0373481
7/25/2011,7,2407.67,14.156,154.53,28.548,242.389,4615.08,1.116343671,27.96420886
7/26/2011,7,848.565,12.526,92.478,24.64,159.344,3272.55,1.211499051,28.21700633
7/27/2011,7,743.977,11.065,71.074,18.578,121.634,1751.17,1.500243165,28.48687025
7/28/2011,7,560.187,9.344,53.095,12.774,123.675,1260.49,0.4326108861,29.0985443
7/29/2011,7,484.934,4.899,52.469,9.981,93.002,801.796,2.036028861,28.70331329
7/30/2011,7,436.81,10.848,83.666,7.907,134.493,633.235,8.589382278,28.73588608
7/31/2011,7,350.4,9,45.5,7.8,280,563.03,2.635424937,29.09424367
8/1/2011,8,506.478,4.86,64.105,6.567,132.719,617.801,1.035660063,28.60002848
8/2/2011,8,445.138,4.944,54.256,7.973,106.465,644.846,3.348654937,28.38797152
8/3/2011,8,463.407,26.734,45.064,6.039,104.68,802.249,24.99620386,26.87285759
8/4/2011,8,524.89,12.459,188.074,10.738,200.372,517.18,13.46944886,26.95253481
8/5/2011,8,431.128,10.803,192.366,24.937,394.998,770.644,5.82761981,27.05360127
8/6/2011,8,1093.51,110.591,171.094,19.097,297.585,977.323,21.16360405,26.29922468
8/7/2011,8,1250,24,172,54,900,1305.58,14.39045291,26.34155063
8/8/2011,8,1588.24,16.386,477.639,37.492,463.752,1960.06,22.02425696,25.85953481
8/9/2011,8,1550.29,24.987,458.422,129.586,382.465,2339.6,17.15877247,25.82300633
8/10/2011,8,1627.44,102.754,652.588,161.185,559.905,2595.07,15.69934475,25.96587975
8/11/2011,8,1542.37,110.994,774.326,106.685,844.297,3052.39,9.546357468,25.74448734
8/12/2011,8,2330.25,43.108,458.483,169.483,514.089,3667.55,23.34437405,25.36843038
8/13/2011,8,2198.04,87.055,1158.95,225.31,586.476,3572.96,19.30430557,25.44261709
8/14/2011,8,2100,36,1160,350,790,4578.27,13.42489392,26.28957278
8/15/2011,8,2320,30,1155,145,700,4178.25,9.313583228,26.9813481
8/16/2011,8,2207,22.931,784.829,101.033,954.299,3794.17,3.953683987,27.26744304
8/17/2011,8,1662.2,23.516,456.608,80.206,487.725,3653.56,8.055524367,27.07953797
8/18/2011,8,1626.06,19.602,226.861,59.089,394.289,2825.54,8.780940443,26.36957911
8/19/2011,8,1541.61,91.307,464.637,45.614,944.471,2263.67,23.68372722,26.04296203
8/20/2011,8,2513.46,90.899,951.769,94.563,1015.55,3236.64,11.30553152,26.79719304
8/21/2011,8,2480,38,950,60,500,4696.56,1.502220823,27.78479114
8/22/2011,8,1946.17,25,945,36,297,3386.79,0.9325014557,28.20644304
8/23/2011,8,1599.21,17.43,124.534,33.382,185.004,2533.11,3.167754304,28.28381329
8/24/2011,8,1216.67,50.465,147.901,39.07,413.017,1961.64,10.76235823,27.4323038
8/25/2011,8,1144.46,29.792,177.496,84.353,353.04,1786,12.3736162,27.04408544
8/26/2011,8,1216.53,125.648,162.756,145.03,387.373,2005.68,13.80501842,27.07068354
8/27/2011,8,1354.13,87.14,209.162,429.051,490.416,2675.28,21.69776582,26.59889241
8/28/2011,8,2100,87,206,234,405,3436.63,14.10426544,26.96462025
8/29/2011,8,3767.5,42.334,170.189,165.39,235.348,3103.53,9.490245,27.19405696
8/30/2011,8,3788.74,39.706,133.449,104.065,209.664,4349.05,13.05315797,27.14086392
8/31/2011,8,3972.2,19,20,92,130,4247.69,9.133437278,27.20093671
9/1/2011,9,5685.21,19.194,92.259,87.744,112.654,4579.2,10.54018804,26.68188291
9/2/2011,9,4688.88,103.634,102.311,139.973,191.912,5695.1,27.24061519,26.15175
9/3/2011,9,5131.75,484.48,633.47,819.425,900.126,6073.88,30.67211013,26.42106646
9/4/2011,9,5600.2,195,1000,420,1870,8699.34,17.0976738,26.14329114
9/5/2011,9,5238.45,146.028,878.54,433.272,978.95,9548.65,7.315815063,26.95235759
9/6/2011,9,5012.78,309.941,853.062,1309.17,627.981,8628.54,33.29489139,26.32626582
9/7/2011,9,9809.88,604.304,958.344,1932.09,878.044,10261.9,59.81158228,25.64942722
9/8/2011,9,18680.6,722.899,824.918,1230.27,806.958,18093,46.19588114,25.61025633
9/9/2011,9,23365.9,296.67,1002.42,1085.01,1252.41,27969.7,35.09212025,25.02992722
9/10/2011,9,17095.4,353.745,2005.23,1757.74,3098.79,29204,22.44664829,25.88400316
9/11/2011,9,14250.8,250,960,435,1380,24655.2,3.482825886,26.62626582
9/12/2011,9,5596.86,94.228,490.151,250.213,629.217,15677.2,1.046355633,27.6904462
9/13/2011,9,2794.38,40.607,311.029,185.447,379.653,6962.7,2.474748481,27.98832278
9/14/2011,9,1973.82,45.122,321.357,139.706,334.558,4173.18,8.794223924,27.12555696
9/15/2011,9,2036.52,38.509,336.879,90.748,353.04,3226.84,9.465326203,27.18125
9/16/2011,9,2781.07,44.988,355.948,86.081,446.401,3327.63,10.86901373,27.30765506
9/17/2011,9,2188.71,27.075,459.474,69.039,604.924,3917.22,14.39990038,27.0039019
9/18/2011,9,3560.1,36,328,155,605,3984.23,13.25288842,27.11944304
9/19/2011,9,3289.6,44.367,302.399,428.204,508.217,5491.64,6.317309557,26.77837342
9/20/2011,9,2851.48,41.436,253.306,209.139,376.949,4729.1,10.9776131,26.84198734
9/21/2011,9,3953.8,22.348,203.206,176.524,253.235,3999.61,5.957701392,26.23266456
9/22/2011,9,3545.34,19.03,143.774,232.781,159.953,4282.35,6.306250633,25.93883544
9/23/2011,9,755.26,17.679,128.608,1442.47,291.377,4693.64,22.78160354,25.27250316
9/24/2011,9,2334.25,50.754,133.033,1289.55,2676.3,5172,19.24686114,25.85903797
9/25/2011,9,2010,40.5,457,423.25,1000,5569.61,4.383571203,26.58898734
9/26/2011,9,1838.23,23.158,315.994,205.136,529.356,4009.23,1.018473291,27.08857911
9/27/2011,9,1595.95,18.836,222.488,152.169,368.757,2848.68,0.04363879747,27.18516139
9/28/2011,9,948.622,14.933,143.785,117.599,223.782,2374.29,0.006490949367,27.23835127
9/29/2011,9,787.855,13.231,132.931,91.549,197.887,1522.48,0,27.12532911
9/30/2011,9,736.336,13.034,103.972,71.985,167.353,1157.89,0.01367158228,26.78483544
6/1/2012,6,6.759,0,0,0,0.297,0,0,36.61525316
6/2/2012,6,5.246,0,0,0,0.279,11.6962,0,36.85912658
6/3/2012,6,5,0,0,0,0.279,32.8229,0.8988136076,36.39471835
6/4/2012,6,3.352,0,0,0,0.241,0,0.1560273418,35.68371203
6/5/2012,6,3.362,0,0,0,0.244,17.9549,0,35.70256329
6/6/2012,6,2.918,0,0,0,0.19,0,0,35.19164557
